Area Codes,Area names,Very Low (0 to 1),Low (2 to 3),Medium (4 to 5),High (6 to 10),Average rating
K02000001,United Kingdom,39.83,23.23,16.88,20.06,2.93
E12000001,North East,,,,,
E06000047,County Durham,41.45,17.96,16,24.6,3.11
E06000005,Darlington,44.2,21.35,13.81,20.64,2.79
E06000001,Hartlepool,47.7,16.65,15.2,20.45,2.69
E06000002,Middlesbrough,43.06,17.8,15.21,23.93,3.04
E06000057,Northumberland,37.37,26.19,15.81,20.63,2.97
E06000003,Redcar and Cleveland,44.63,19.12,16.62,19.63,2.83
E06000004,Stockton-on-Tees,43.77,19.75,16.95,19.53,2.81
E08000037,Gateshead,37.9,20.66,16.52,24.92,3.22
E08000021,Newcastle upon Tyne,37.23,23.95,17.5,21.33,3.1
E08000022,North Tyneside,38.62,21.67,19.58,20.14,3.02
E08000023,South Tyneside,42.39,19.49,16.56,21.57,2.95
E08000024,Sunderland,43.94,18.05,15.32,22.69,2.97
E12000002,North West,,,,,
E06000008,Blackburn with Darwen,38.43,22.55,16.35,22.67,3.13
E06000009,Blackpool,43.38,21.48,14.46,20.67,2.86
E06000049,Cheshire East,36.99,28.6,19.15,15.27,2.8
E06000050,Cheshire West and Chester,42.49,24.49,13.83,19.2,2.77
E06000006,Halton,38.78,20.27,16.69,24.25,3.19
E06000007,Warrington,41.64,23.43,14.53,20.4,2.87
E10000006,Cumbria,41.22,21.54,16.63,20.61,2.91
E08000001,Bolton,43.59,20.01,15.38,21.02,2.86
E08000002,Bury,39.06,23.35,16.78,20.8,3.01
E08000003,Manchester,39.25,23.31,17.64,19.81,3
E08000004,Oldham,37.99,23.62,16.55,21.84,3.08
E08000005,Rochdale,39.69,23.58,16.15,20.58,2.99
E08000006,Salford,41.03,20.96,15.35,22.66,2.99
E08000007,Stockport,42.19,24.7,15.48,17.64,2.68
E08000008,Tameside,39.23,21.49,17.52,21.76,3.04
E08000009,Trafford,39.29,23.79,16.64,20.27,2.91
E08000010,Wigan,44.88,20.25,16.17,18.69,2.71
E10000017,Lancashire,42.88,21.9,15.64,19.57,2.8
E08000011,Knowsley,37.39,19.1,17.8,25.71,3.32
E08000012,Liverpool,35.82,17.26,18.7,28.22,3.52
E08000014,Sefton,40.91,21.75,15.13,22.21,2.96
E08000013,St. Helens,42.72,19.39,16.95,20.94,2.97
E08000015,Wirral,43.58,20.58,14.49,21.35,2.86
E12000003,Yorkshire and the Humber,,,,,
E06000011,East Riding of Yorkshire,45.98,19.49,16.49,18.04,2.67
E06000010,City of Kingston upon Hull,42.05,19.59,16.51,21.85,2.95
E06000012,North East Lincolnshire,42.97,19.2,17.16,20.67,2.89
E06000013,North Lincolnshire,44.69,20.01,16.36,18.94,2.79
E06000014,York,38.7,24.85,15.09,21.36,2.97
E10000023,North Yorkshire,44.94,23.36,14.41,17.29,2.57
E08000016,Barnsley,40.83,19.3,16.97,22.89,3.05
E08000017,Doncaster,41.98,18.5,17.54,21.98,3.01
E08000018,Rotherham,41.35,19.24,17.54,21.87,3.03
E08000019,Sheffield,36.45,22.79,18.05,22.72,3.16
E08000032,Bradford,38.07,21.77,17.68,22.47,3.16
E08000033,Calderdale,41.66,22.21,15.61,20.53,2.89
E08000034,Kirklees,39.99,21.48,15.81,22.71,3.05
E08000035,Leeds,40.18,19.94,17.67,22.21,3.06
E08000036,Wakefield,37.35,21.89,17.84,22.92,3.19
E12000004,East Midlands,,,,,
E06000015,Derby,41.72,18.6,17.38,22.3,2.99
E06000016,Leicester,36.94,21.48,18.96,22.61,3.18
E06000018,Nottingham,42.51,23.24,15.16,19.09,2.88
E06000017,Rutland,42.73,23.34,12.12,21.81,2.81
E10000007,Derbyshire,41.34,21.8,16.72,20.14,2.87
E10000018,Leicestershire,38.82,21.36,19.5,20.32,3
E10000019,Lincolnshire,43.82,22.65,15.37,18.16,2.7
E10000021,Northamptonshire,39.73,26.24,16.07,17.96,2.78
E10000024,Nottinghamshire,44.16,22.43,14.74,18.67,2.73
E12000005,West Midlands,,,,,
E06000019,County of Herefordshire,38.22,25.87,15.82,20.09,2.95
E06000051,Shropshire,42.53,21.06,19.07,17.34,2.79
E06000021,Stoke-on-Trent,43.58,19.37,17.75,19.31,2.82
E06000020,Telford and Wrekin,44.28,19.4,16.78,19.54,2.78
E10000028,Staffordshire,43.53,20.99,15.98,19.5,2.78
E10000031,Warwickshire,46.08,24.11,14.39,15.41,2.44
E08000025,Birmingham,43.07,19.68,16.46,20.8,2.88
E08000026,Coventry,41.22,28.16,14.98,15.65,2.64
E08000027,Dudley,40.6,26.28,16.51,16.61,2.72
E08000028,Sandwell,46.34,19.1,13.8,20.76,2.74
E08000029,Solihull,41.62,25.37,14.93,18.08,2.76
E08000030,Walsall,45.05,20.57,15.85,18.53,2.71
E08000031,Wolverhampton,58.52,18.76,11.2,11.52,1.95
E10000034,Worcestershire,45.14,22.63,15.55,16.68,2.6
E12000006,East,,,,,
E06000055,Bedford,34.17,27.44,18.59,19.79,2.97
E06000056,Central Bedfordshire,40.09,23.02,17.76,19.12,2.89
E06000032,Luton,42.84,21.95,14.99,20.22,2.82
E06000031,Peterborough,40.79,20.24,18.06,20.91,2.94
E06000033,Southend-on-Sea,40.68,23.75,15.61,19.96,2.9
E06000034,Thurrock,41.92,20.38,16.85,20.84,2.91
E10000003,Cambridgeshire,39.36,25.06,16.69,18.89,2.85
E10000012,Essex,41.16,24.79,16.16,17.89,2.79
E10000015,Hertfordshire,36.55,25.13,17.88,20.44,3.03
E10000020,Norfolk,39.54,22.87,17.46,20.13,2.98
E10000029,Suffolk,38.3,24.3,17.82,19.58,2.98
E12000007,London,,,,,
E09000007,Camden,24.71,35.92,16.87,22.5,3.39
E09000001,City of London,x,x,x,x,x
E09000012,Hackney,28.91,26.27,20.28,24.55,3.44
E09000013,Hammersmith and Fulham,33.42,24.96,18.35,23.27,3.29
E09000014,Haringey,36.25,27.2,16.37,20.17,3
E09000019,Islington,28.38,31.94,15.98,23.7,3.45
E09000020,Kensington and Chelsea,35.42,24.55,19.5,20.54,3.08
E09000022,Lambeth,28.89,27.91,19.87,23.33,3.39
E09000023,Lewisham,33.41,22.95,20.37,23.27,3.34
E09000025,Newham,39.56,24.68,15.6,20.16,2.95
E09000028,Southwark,29.86,25.91,23.15,21.09,3.33
E09000030,Tower Hamlets,35.29,24.95,21.17,18.59,3.07
E09000032,Wandsworth,26.36,28.37,25.44,19.82,3.44
E09000033,Westminster,29.38,29.9,17.25,23.47,3.36
E09000002,Barking and Dagenham,39,21.93,18.44,20.62,3.09
E09000003,Barnet,43.6,29.36,12.94,14.1,2.44
E09000004,Bexley,34.8,19.17,19.95,26.09,3.39
E09000005,Brent,32.23,33.69,18.52,15.56,2.85
E09000006,Bromley,35.48,23.85,20.53,20.14,3.07
E09000008,Croydon,38.77,20.33,20.21,20.69,3.06
E09000009,Ealing,31.19,24.3,19.01,25.5,3.44
E09000010,Enfield,43.39,31.13,14.18,11.3,2.32
E09000011,Greenwich,30.17,23.95,20.74,25.13,3.5
E09000015,Harrow,32.98,36.97,15.4,14.65,2.69
E09000016,Havering,38.39,22.04,15.5,24.07,3.18
E09000017,Hillingdon,34.02,23.71,19.74,22.53,3.33
E09000018,Hounslow,34.18,23.93,20.52,21.37,3.25
E09000021,Kingston upon Thames,33.83,26.78,17.82,21.58,3.19
E09000024,Merton,31.02,23.87,21.74,23.37,3.4
E09000026,Redbridge,36.34,23.08,17.25,23.33,3.16
E09000027,Richmond upon Thames,30.55,25.01,21.92,22.53,3.35
E09000029,Sutton,31.88,26.32,20.74,21.06,3.26
E09000031,Waltham Forest,40.29,22.79,19.69,17.22,2.85
E12000008,South East,,,,,
E06000036,Bracknell Forest,38.17,23.89,18.39,19.55,2.96
E06000043,Brighton and Hove,34.5,23.13,19.17,23.2,3.25
E06000046,Isle of Wight,47.75,20.4,13.83,18.02,2.54
E06000035,Medway,43.29,19.4,17.08,20.23,2.9
E06000042,Milton Keynes,38.47,23.98,15.33,22.23,3.06
E06000044,Portsmouth,46.52,20.11,16.03,17.34,2.57
E06000038,Reading,30.86,28.01,19.13,22,3.27
E06000039,Slough,35.71,19.49,20.57,24.23,3.38
E06000045,Southampton,40.35,22.38,15.96,21.3,2.92
E06000037,West Berkshire,38.45,25.21,16.39,19.95,2.94
E06000040,Windsor and Maidenhead,37.49,25.03,16.33,21.16,3.01
E06000041,Wokingham,37.86,27.55,15.42,19.18,2.89
E10000002,Buckinghamshire,36.73,26.73,18.16,18.38,2.95
E10000011,East Sussex,41.78,20.71,16.77,20.74,2.89
E10000014,Hampshire,44.35,22.2,15.64,17.8,2.67
E10000016,Kent,40.93,21.72,17.37,19.97,2.9
E10000025,Oxfordshire,36.94,25.75,17.74,19.57,2.96
E10000030,Surrey,36.16,27.26,17.34,19.24,2.96
E10000032,West Sussex,38.84,23.86,17.23,20.07,2.93
E12000009,South West,,,,,
E06000022,Bath and North East Somerset,34.68,26.39,17.59,21.34,3.09
*,Bournemouth & Poole,38.16,28.54,15.96,17.34,2.82
E06000023,City of Bristol,33.92,25.74,18.95,21.38,3.15
E06000052,Cornwall,41.58,20.21,17.18,21.03,2.93
E06000024,North Somerset,38.78,30.15,14.79,16.27,2.73
E06000026,Plymouth,41.48,21.48,14.88,22.16,2.97
E06000025,South Gloucestershire,39.72,24.86,16.28,19.15,2.85
E06000030,Swindon,40.65,21.97,17.98,19.4,2.92
E06000027,Torbay,42.36,21.29,16.05,20.31,2.87
E06000054,Wiltshire,40.68,22.89,15.86,20.57,2.9
E10000008,Devon,38.55,25.97,16.68,18.8,2.85
E10000009,Dorset,42.57,24.82,14.72,17.89,2.68
E10000013,Gloucestershire,39.99,22.63,18,19.39,2.93
E10000027,Somerset,37.09,27.41,17.1,18.4,2.94